,artist,date,song
13877,Christina Aguilera,2007-03-03,Candyman
13878,Timbaland Featuring Nelly Furtado & Justin Timberlake,2007-03-03,Give It To Me
13879,Jason Aldean,2007-03-03,Amarillo Sky
13880,Beyonce,2007-03-03,Listen
13881,Craig Morgan,2007-03-03,Little Bit Of Life
13882,The Pussycat Dolls Featuring Timbaland,2007-03-03,Wait A Minute
13883,Young Jeezy,2007-03-03,I Luv It
13884,Kenny Chesney,2007-03-03,Beer In Mexico
13885,Jordan Pruitt,2007-03-03,Outside Looking In
13886,Unk,2007-03-03,2 Step
13887,John Legend,2007-03-03,Save Room
13888,Corbin Bleu,2007-03-03,Push It To The Limit
13889,R. Kelly Or Bow Wow (Featuring T.I. & T-Pain),2007-03-03,I'm A Flirt
13890,The Killers,2007-03-03,Read My Mind
13891,Sugarland,2007-03-03,Settlin'
13892,Jennifer Hudson,2007-03-03,And I Am Telling You I'm Not Going
13893,My Chemical Romance,2007-03-03,Famous Last Words
13894,Joe Nichols,2007-03-03,I'll Wait For You
13895,Brooks & Dunn,2007-03-03,Hillbilly Deluxe
13896,Crime Mob Featuring Lil Scrappy,2007-03-03,Rock Yo Hips
13897,Lil' Boosie Featuring Yung Joc,2007-03-03,Zoom
13898,P!nk,2007-03-03,U + Ur Hand
13899,Rascal Flatts,2007-03-03,Stand
13900,Beyonce,2007-02-03,Irreplaceable
13901,Fall Out Boy,2007-02-03,"This Ain't A Scene, It's An Arms Race"
13902,Nelly Furtado,2007-02-03,Say It Right
13903,Akon Featuring Snoop Dogg,2007-02-03,I Wanna Love You
13904,Jim Jones,2007-02-03,We Fly High
13905,Daughtry,2007-02-03,It's Not Over
13906,Fergie,2007-02-03,Fergalicious
13907,Akon Featuring Eminem,2007-02-03,Smack That
13908,The Fray,2007-02-03,How To Save A Life
13909,My Chemical Romance,2007-02-03,Welcome To The Black Parade
13910,Ludacris Featuring Mary J. Blige,2007-02-03,Runaway Love
13911,Justin Timberlake Featuring T.I.,2007-02-03,My Love
13912,Justin Timberlake,2007-02-03,What Goes Around...Comes Around
13913,Corbin Bleu,2007-02-03,Push It To The Limit
13914,The All-American Rejects,2007-02-03,It Ends Tonight
13915,Unk,2007-02-03,Walk It Out
13916,Lloyd Featuring Lil Wayne,2007-02-03,You
13917,Bow Wow Featuring Chris Brown & Johnta Austin,2007-02-03,Shortie Like Mine
13918,Gwen Stefani Featuring Akon,2007-02-03,The Sweet Escape
13919,Fat Joe Featuring Lil Wayne,2007-02-03,Make It Rain
13920,Hinder,2007-02-03,Lips Of An Angel
13921,Ciara,2007-02-03,Promise
13922,KT Tunstall,2007-02-03,Suddenly I See
13923,Paula DeAnda Featuring The DEY,2007-02-03,Walk Away (Remember Me)
13924,John Mayer,2007-02-03,Waiting On The World To Change
13925,Avril Lavigne,2007-02-03,Keep Holding On
13926,Omarion,2007-02-03,Ice Box
13927,Justin Timberlake,2007-02-03,SexyBack
13928,Snow Patrol,2007-02-03,Chasing Cars
13929,Snoop Dogg Featuring R. Kelly,2007-02-03,That's That
13930,Carrie Underwood,2007-02-03,Before He Cheats
13931,Hellogoodbye,2007-02-03,Here (In Your Arms)
13932,Red Hot Chili Peppers,2007-02-03,Snow ((Hey Oh))
13933,Nickelback,2007-02-03,Far Away
13934,Augustana,2007-02-03,Boston
13935,The Pussycat Dolls Featuring Timbaland,2007-02-03,Wait A Minute
13936,Ludacris Featuring Pharrell,2007-02-03,Money Maker
13937,Rodney Atkins,2007-02-03,Watching You
13938,Christina Aguilera,2007-02-03,Hurt
13939,Stone Sour,2007-02-03,Through Glass
13940,Brad Paisley,2007-02-03,She's Everything
13941,Young Jeezy,2007-02-03,I Luv It
13942,Taylor Swift,2007-02-03,Tim McGraw
13943,Rascal Flatts,2007-02-03,What Hurts The Most
13944,Gwen Stefani,2007-02-03,Wind It Up
13945,The Red Jumpsuit Apparatus,2007-02-03,Face Down
13946,Keith Urban,2007-02-03,Stupid Boy
13947,T.I.,2007-02-03,Top Back
13948,Gym Class Heroes Featuring Patrick Stump,2007-02-03,Cupid's Chokehold/Breakfast In America
13949,Nickelback,2007-02-03,If Everyone Cared
13950,Rascal Flatts,2007-02-03,My Wish
13951,Chris Brown Featuring Jay Biz,2007-02-03,Poppin'
13952,Blue October,2007-02-03,Into The Ocean
13953,Jordan Pruitt,2007-02-03,Jump To The Rhythm
13954,Diddy Featuring Christina Aguilera,2007-02-03,Tell Me
13955,Lil Scrappy Featuring Young Buck,2007-02-03,Money In The Bank
13956,Robin Thicke,2007-02-03,Lost Without U
13957,Regina Spektor,2007-02-03,Fidelity
13958,"""Weird Al"" Yankovic",2007-02-03,White & Nerdy
13959,Rihanna & Sean Paul,2007-02-03,Break It Off
13960,Beyonce,2007-02-03,Listen
13961,Three Days Grace,2007-02-03,Pain
13962,Jason Aldean,2007-02-03,Amarillo Sky
13963,Kellie Pickler,2007-02-03,Red High Heels
13964,Nickelback,2007-02-03,Rockstar
13965,George Strait,2007-02-03,It Just Comes Natural
13966,Baby Boy Da Prince Featuring Lil Boosie,2007-02-03,The Way I Live
13967,Nelly Furtado,2007-02-03,Maneater
13968,Mat Kearney,2007-02-03,Nothing Left To Lose
13969,Lil' Boosie Featuring Yung Joc,2007-02-03,Zoom
13970,Sugarland,2007-02-03,Want To
13971,Pretty Ricky,2007-02-03,On The Hotline
13972,Jennifer Hudson,2007-02-03,And I Am Telling You I'm Not Going
13973,Jason Michael Carroll,2007-02-03,Alyssa Lies
13974,Trace Adkins,2007-02-03,Ladies Love Country Boys
13975,Rich Boy Featuring Polow Da Don,2007-02-03,Throw Some D's
13976,Fergie Featuring Ludacris,2007-02-03,Glamorous
13977,Tim McGraw,2007-02-03,My Little Girl
13978,Akon,2007-02-03,Don't Matter
13979,Rob Thomas,2007-02-03,Streetcorner Symphony
13980,Hannah Montana,2007-02-03,If We Were A Movie
13981,Jibbs Featuring Chamillionaire,2007-02-03,King Kong
13982,Jay-Z Featuring Chrisette Michele,2007-02-03,Lost One
13983,Craig Morgan,2007-02-03,Little Bit Of Life
13984,Petey Pablo,2007-02-03,Show Me The Money
13985,Young Jeezy Featuring R. Kelly,2007-02-03,Go Getta
13986,Mims,2007-02-03,This Is Why I'm Hot
13987,Incubus,2007-02-03,Anna-Molly
13988,Lumidee Featuring Tony Sunshine,2007-02-03,She's Like The Wind
13989,The Wreckers,2007-02-03,"My, Oh My"
13990,Mary J. Blige,2007-02-03,Take Me As I Am
13991,Vanessa Hudgens,2007-02-03,Come Back To Me
13992,P!nk,2007-02-03,U + Ur Hand
13993,Diddy Featuring Keyshia Cole,2007-02-03,Last Night
13994,Thirty Seconds To Mars,2007-02-03,From Yesterday
13995,Cartel,2007-02-03,Honestly
13996,Ashley Tisdale,2007-02-03,He Said She Said
13997,Trent Tomlinson,2007-02-03,One Wing In The Fire
13998,Cherish,2007-02-03,Unappreciated
13999,U2 & Green Day,2007-02-03,The Saints Are Coming
14000,Beyonce,2007-01-06,Irreplaceable
14001,Akon Featuring Snoop Dogg,2007-01-06,I Wanna Love You
14002,Fergie,2007-01-06,Fergalicious
14003,Akon Featuring Eminem,2007-01-06,Smack That
14004,Justin Timberlake Featuring T.I.,2007-01-06,My Love
14005,Nelly Furtado,2007-01-06,Say It Right
14006,The Fray,2007-01-06,How To Save A Life
14007,Jim Jones,2007-01-06,We Fly High
14008,Bow Wow Featuring Chris Brown & Johnta Austin,2007-01-06,Shortie Like Mine
14009,Hinder,2007-01-06,Lips Of An Angel
14010,The All-American Rejects,2007-01-06,It Ends Tonight
14011,Justin Timberlake,2007-01-06,SexyBack
14012,Unk,2007-01-06,Walk It Out
14013,Ciara,2007-01-06,Promise
14014,Ludacris Featuring Pharrell,2007-01-06,Money Maker
14015,My Chemical Romance,2007-01-06,Welcome To The Black Parade
14016,Snow Patrol,2007-01-06,Chasing Cars
14017,Paula DeAnda Featuring The DEY,2007-01-06,Walk Away (Remember Me)
14018,Nickelback,2007-01-06,Far Away
14019,Avril Lavigne,2007-01-06,Keep Holding On
14020,Gwen Stefani,2007-01-06,Wind It Up
14021,Ludacris Featuring Mary J. Blige,2007-01-06,Runaway Love
14022,Justin Timberlake,2007-01-06,What Goes Around...Comes Around
14023,Carrie Underwood,2007-01-06,Before He Cheats
14024,Christina Aguilera,2007-01-06,Hurt
14025,Young Jeezy,2007-01-06,I Luv It
14026,Fat Joe Featuring Lil Wayne,2007-01-06,Make It Rain
14027,John Mayer,2007-01-06,Waiting On The World To Change
14028,Lloyd Featuring Lil Wayne,2007-01-06,You
14029,Chris Brown,2007-01-06,Say Goodbye
14030,Red Hot Chili Peppers,2007-01-06,Snow ((Hey Oh))
14031,Snoop Dogg Featuring R. Kelly,2007-01-06,That's That
14032,JoJo,2007-01-06,Too Little Too Late
14033,Lil Scrappy Featuring Young Buck,2007-01-06,Money In The Bank
14034,The Pussycat Dolls Featuring Timbaland,2007-01-06,Wait A Minute
14035,Evanescence,2007-01-06,Call Me When You're Sober
14036,Rascal Flatts,2007-01-06,My Wish
14037,Daughtry,2007-01-06,It's Not Over
14038,Stone Sour,2007-01-06,Through Glass
14039,Brad Paisley,2007-01-06,She's Everything
14040,Nas Featuring will.i.am,2007-01-06,Hip Hop Is Dead
14041,OK Go,2007-01-06,Here It Goes Again
14042,KT Tunstall,2007-01-06,Suddenly I See
14043,"""Weird Al"" Yankovic",2007-01-06,White & Nerdy
14044,Rodney Atkins,2007-01-06,Watching You
14045,Rascal Flatts,2007-01-06,What Hurts The Most
14046,Tim McGraw,2007-01-06,My Little Girl
14047,Taylor Swift,2007-01-06,Tim McGraw
14048,Birdman & Lil Wayne,2007-01-06,Stuntin' Like My Daddy
14049,"Eminem, 50 Cent, Lloyd Banks & Ca$his",2007-01-06,You Don't Know
14050,Diddy Featuring Christina Aguilera,2007-01-06,Tell Me
14051,Sugarland,2007-01-06,Want To
14052,Omarion,2007-01-06,Ice Box
14053,Danity Kane,2007-01-06,Show Stopper
14054,T.I.,2007-01-06,Top Back
14055,Hellogoodbye,2007-01-06,Here (In Your Arms)
14056,The Killers,2007-01-06,When You Were Young
14057,Jay-Z Featuring Chrisette Michele,2007-01-06,Lost One
14058,Nelly Furtado,2007-01-06,Maneater
14059,JAY-Z,2007-01-06,Show Me What You Got
14060,Diddy Featuring Nicole Scherzinger,2007-01-06,Come To Me
14061,Nickelback,2007-01-06,Rockstar
14062,Chris Brown Featuring Jay Biz,2007-01-06,Poppin'
14063,Rihanna & Sean Paul,2007-01-06,Break It Off
14064,Cherish,2007-01-06,Unappreciated
14065,Blue October,2007-01-06,Into The Ocean
14066,Augustana,2007-01-06,Boston
14067,Lil' Boosie Featuring Yung Joc,2007-01-06,Zoom
14068,The Red Jumpsuit Apparatus,2007-01-06,Face Down
14069,George Strait,2007-01-06,It Just Comes Natural
14070,Jason Aldean,2007-01-06,Amarillo Sky
14071,Gwen Stefani Featuring Akon,2007-01-06,The Sweet Escape
14072,Three Days Grace,2007-01-06,Pain
14073,Keith Urban,2007-01-06,Stupid Boy
14074,Kenny Chesney,2007-01-06,You Save Me
14075,Rich Boy Featuring Polow Da Don,2007-01-06,Throw Some D's
14076,AFI,2007-01-06,Love Like Winter
14077,Beyonce Featuring Jay Z,2007-01-06,Upgrade U
14078,Incubus,2007-01-06,Anna-Molly
14079,U2 & Green Day,2007-01-06,The Saints Are Coming
14080,Rob Thomas,2007-01-06,Streetcorner Symphony
14081,Kellie Pickler,2007-01-06,Red High Heels
14082,Trace Adkins,2007-01-06,Ladies Love Country Boys
14083,Regina Spektor,2007-01-06,Fidelity
14084,Sarah McLachlan,2007-01-06,River
14085,Baby Boy Da Prince Featuring Lil Boosie,2007-01-06,The Way I Live
14086,Mat Kearney,2007-01-06,Nothing Left To Lose
14087,The Killers Featuring Toni Halliday,2007-01-06,A Great Big Sled
14088,The Fray,2007-01-06,Happy Xmas (War Is Over)
14089,Heartland,2007-01-06,I Loved Her First
14090,Vanessa Hudgens,2007-01-06,Come Back To Me
14091,Montgomery Gentry,2007-01-06,Some People Change
14092,Mary J. Blige,2007-01-06,Take Me As I Am
14093,Robin Thicke,2007-01-06,Lost Without U
14094,Beyonce,2007-01-06,Listen
14095,Chingy Featuring Jermaine Dupri,2007-01-06,Dem Jeans
14096,Pretty Ricky,2007-01-06,On The Hotline
14097,Pitbull,2007-01-06,Ay Chico (Lengua Afuera)
14098,Red Hot Chili Peppers,2007-01-06,Tell Me Baby
14099,RBD,2007-01-06,Tu Amor
14100,Akon Featuring Snoop Dogg,2006-12-02,I Wanna Love You
14101,Akon Featuring Eminem,2006-12-02,Smack That
14102,Beyonce,2006-12-02,Irreplaceable
14103,Justin Timberlake Featuring T.I.,2006-12-02,My Love
14104,Fergie,2006-12-02,Fergalicious
14105,Hinder,2006-12-02,Lips Of An Angel
14106,Ludacris Featuring Pharrell,2006-12-02,Money Maker
14107,The Fray,2006-12-02,How To Save A Life
14108,Snow Patrol,2006-12-02,Chasing Cars
14109,Bow Wow Featuring Chris Brown & Johnta Austin,2006-12-02,Shortie Like Mine
14110,Justin Timberlake,2006-12-02,SexyBack
14111,The All-American Rejects,2006-12-02,It Ends Tonight
14112,JAY-Z,2006-12-02,Show Me What You Got
14113,Chris Brown,2006-12-02,Say Goodbye
14114,Nickelback,2006-12-02,Far Away
14115,Jim Jones,2006-12-02,We Fly High
14116,JoJo,2006-12-02,Too Little Too Late
14117,Unk,2006-12-02,Walk It Out
14118,Carrie Underwood,2006-12-02,Before He Cheats
14119,Evanescence,2006-12-02,Call Me When You're Sober
14120,Diddy Featuring Nicole Scherzinger,2006-12-02,Come To Me
14121,John Mayer,2006-12-02,Waiting On The World To Change
14122,Christina Aguilera,2006-12-02,Hurt
14123,Birdman & Lil Wayne,2006-12-02,Stuntin' Like My Daddy
14124,Gwen Stefani,2006-12-02,Wind It Up
14125,Danity Kane,2006-12-02,Show Stopper
14126,My Chemical Romance,2006-12-02,Welcome To The Black Parade
14127,Ciara Featuring Chamillionaire,2006-12-02,Get Up
14128,Lil Scrappy Featuring Young Buck,2006-12-02,Money In The Bank
14129,Paula DeAnda Featuring The DEY,2006-12-02,Walk Away (Remember Me)
14130,Rascal Flatts,2006-12-02,My Wish
14131,Fergie,2006-12-02,London Bridge
14132,Sugarland,2006-12-02,Want To
14133,Ciara,2006-12-02,Promise
14134,Brad Paisley,2006-12-02,She's Everything
14135,"""Weird Al"" Yankovic",2006-12-02,White & Nerdy
14136,The Pussycat Dolls Featuring Snoop Dogg,2006-12-02,Buttons
14137,Tim McGraw,2006-12-02,My Little Girl
14138,The Killers,2006-12-02,When You Were Young
14139,Rascal Flatts,2006-12-02,What Hurts The Most
14140,Kenny Chesney,2006-12-02,You Save Me
14141,The Fray,2006-12-02,Over My Head (Cable Car)
14142,Gnarls Barkley,2006-12-02,Crazy
14143,Jibbs,2006-12-02,Chain Hang Low
14144,KT Tunstall,2006-12-02,Suddenly I See
14145,The Game,2006-12-02,Let's Ride
14146,Fat Joe Featuring Lil Wayne,2006-12-02,Make It Rain
14147,Taylor Swift,2006-12-02,Tim McGraw
14148,Keith Urban,2006-12-02,Once In A Lifetime
14149,Cherish,2006-12-02,Unappreciated
14150,Stone Sour,2006-12-02,Through Glass
14151,Nelly Furtado,2006-12-02,Maneater
14152,The Pussycat Dolls Featuring Timbaland,2006-12-02,Wait A Minute
14153,Lady Sovereign,2006-12-02,Love Me Or Hate Me (F**k You!!!!)
14154,Diddy Featuring Christina Aguilera,2006-12-02,Tell Me
14155,Heartland,2006-12-02,I Loved Her First
14156,Mario Vazquez,2006-12-02,Gallery
14157,Brooke Hogan Featuring Paul Wall,2006-12-02,About Us
14158,Beyonce,2006-12-02,Ring The Alarm
14159,Mary J. Blige,2006-12-02,Take Me As I Am
14160,Vanessa Hudgens,2006-12-02,Come Back To Me
14161,Rodney Atkins,2006-12-02,Watching You
14162,Rick Ross,2006-12-02,Push It
14163,Montgomery Gentry,2006-12-02,Some People Change
14164,U2 & Green Day,2006-12-02,The Saints Are Coming
14165,Nelly Furtado,2006-12-02,Say It Right
14166,Augustana,2006-12-02,Boston
14167,Rob Thomas,2006-12-02,Streetcorner Symphony
14168,Chingy Featuring Jermaine Dupri,2006-12-02,Dem Jeans
14169,Plain White T's,2006-12-02,Hate (I Really Don't Like You)
14170,The Game Featuring Junior Reid,2006-12-02,It's Okay (One Blood)
14171,RBD,2006-12-02,Tu Amor
14172,George Strait,2006-12-02,It Just Comes Natural
14173,OK Go,2006-12-02,Here It Goes Again
14174,Dierks Bentley,2006-12-02,Every Mile A Memory
14175,Lionel Richie,2006-12-02,I Call It Love
14176,Nickelback,2006-12-02,Rockstar
14177,Shareefa Featuring Ludacris,2006-12-02,Need A Boss
14178,George Strait,2006-12-02,Give It Away
14179,Jason Aldean,2006-12-02,Amarillo Sky
14180,Lyfe Jennings,2006-12-02,S.E.X.
14181,Lonestar,2006-12-02,Mountains
14182,Hellogoodbye,2006-12-02,Here (In Your Arms)
14183,Beyonce Featuring Jay Z,2006-12-02,Upgrade U
14184,Snoop Dogg Featuring R. Kelly,2006-12-02,That's That
14185,Lloyd Featuring Lil Wayne,2006-12-02,You
14186,Thirty Seconds To Mars,2006-12-02,The Kill (Bury Me)
14187,Red Hot Chili Peppers,2006-12-02,Tell Me Baby
14188,(+44),2006-12-02,When Your Heart Stops Beating
14189,Breaking Benjamin,2006-12-02,The Diary Of Jane
14190,Ludacris Featuring Mary J. Blige,2006-12-02,Runaway Love
14191,Jack Ingram,2006-12-02,Love You
14192,John Legend,2006-12-02,Save Room
14193,Webstar & Young B Featuring The Voice Of Harlem,2006-12-02,Chicken Noodle Soup.
14194,Monica Featuring Dem Franchize Boyz,2006-12-02,Everytime Tha Beat Drop
14195,Five For Fighting,2006-12-02,The Riddle
14196,Mat Kearney,2006-12-02,Nothing Left To Lose
14197,The Red Jumpsuit Apparatus,2006-12-02,Face Down
14198,Hannah Montana,2006-12-02,If We Were A Movie
14199,Young Jeezy,2006-12-02,I Luv It
14200,Ludacris Featuring Pharrell,2006-11-04,Money Maker
14201,Akon Featuring Eminem,2006-11-04,Smack That
14202,Hinder,2006-11-04,Lips Of An Angel
14203,Justin Timberlake,2006-11-04,SexyBack
14204,Justin Timberlake Featuring T.I.,2006-11-04,My Love
14205,The Fray,2006-11-04,How To Save A Life
14206,JoJo,2006-11-04,Too Little Too Late
14207,Snow Patrol,2006-11-04,Chasing Cars
14208,Diddy Featuring Nicole Scherzinger,2006-11-04,Come To Me
14209,Nickelback,2006-11-04,Far Away
14210,Jibbs,2006-11-04,Chain Hang Low
14211,Chris Brown,2006-11-04,Say Goodbye
14212,Danity Kane,2006-11-04,Show Stopper
14213,Evanescence,2006-11-04,Call Me When You're Sober
14214,"""Weird Al"" Yankovic",2006-11-04,White & Nerdy
14215,Nelly Furtado,2006-11-04,Maneater
14216,Fergie,2006-11-04,London Bridge
14217,The Pussycat Dolls Featuring Snoop Dogg,2006-11-04,Buttons
14218,Fergie,2006-11-04,Fergalicious
14219,Ciara Featuring Chamillionaire,2006-11-04,Get Up
14220,Bow Wow Featuring Chris Brown & Johnta Austin,2006-11-04,Shortie Like Mine
14221,Gnarls Barkley,2006-11-04,Crazy
14222,John Mayer,2006-11-04,Waiting On The World To Change
14223,Carrie Underwood,2006-11-04,Before He Cheats
14224,Beyonce,2006-11-04,Ring The Alarm
14225,Chingy Featuring Tyrese,2006-11-04,Pullin' Me Back
14226,The Fray,2006-11-04,Over My Head (Cable Car)
14227,The Killers,2006-11-04,When You Were Young
14228,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006-11-04,I Know You See It
14229,Ne-Yo,2006-11-04,Sexy Love
14230,Unk,2006-11-04,Walk It Out
14231,Birdman & Lil Wayne,2006-11-04,Stuntin' Like My Daddy
14232,Panic! At The Disco,2006-11-04,I Write Sins Not Tragedies
14233,Rascal Flatts,2006-11-04,What Hurts The Most
14234,Tim McGraw,2006-11-04,My Little Girl
14235,Heartland,2006-11-04,I Loved Her First
14236,Mario Vazquez,2006-11-04,Gallery
14237,Christina Aguilera,2006-11-04,Hurt
14238,Nelly Furtado Featuring Timbaland,2006-11-04,Promiscuous
14239,The All-American Rejects,2006-11-04,It Ends Tonight
14240,Akon Featuring Snoop Dogg,2006-11-04,I Wanna Love You
14241,E-40 Featuring T-Pain & Kandi Girl,2006-11-04,U And Dat
14242,Rascal Flatts,2006-11-04,My Wish
14243,Sean Paul Featuring Keyshia Cole,2006-11-04,(When You Gonna) Give It Up To Me
14244,Lil Scrappy Featuring Young Buck,2006-11-04,Money In The Bank
14245,The All-American Rejects,2006-11-04,Move Along
14246,Sugarland,2006-11-04,Want To
14247,Dierks Bentley,2006-11-04,Every Mile A Memory
14248,Blue October,2006-11-04,Hate Me
14249,Kenny Chesney,2006-11-04,You Save Me
14250,Lyfe Jennings,2006-11-04,S.E.X.
14251,Frankie J Featuring Mannie Fresh & Chamillionaire,2006-11-04,That Girl
14252,Christina Aguilera,2006-11-04,Ain't No Other Man
14253,Jim Jones,2006-11-04,We Fly High
14254,Josh Turner,2006-11-04,Would You Go With Me
14255,My Chemical Romance,2006-11-04,Welcome To The Black Parade
14256,Keith Urban,2006-11-04,Once In A Lifetime
14257,JAY-Z,2006-11-04,Show Me What You Got
14258,Webstar & Young B Featuring The Voice Of Harlem,2006-11-04,Chicken Noodle Soup.
14259,Augustana,2006-11-04,Boston
14260,Taylor Swift,2006-11-04,Tim McGraw
14261,Diddy Featuring Christina Aguilera,2006-11-04,Tell Me
14262,Rick Ross,2006-11-04,Push It
14263,George Strait,2006-11-04,Give It Away
14264,Monica Featuring Dem Franchize Boyz,2006-11-04,Everytime Tha Beat Drop
14265,Lady Sovereign,2006-11-04,Love Me Or Hate Me (F**k You!!!!)
14266,Mary J. Blige,2006-11-04,Take Me As I Am
14267,Shareefa Featuring Ludacris,2006-11-04,Need A Boss
14268,KT Tunstall,2006-11-04,Suddenly I See
14269,Red Hot Chili Peppers,2006-11-04,Tell Me Baby
14270,Five For Fighting,2006-11-04,The Riddle
14271,Jesse McCartney,2006-11-04,Right Where You Want Me
14272,Lionel Richie,2006-11-04,I Call It Love
14273,Stone Sour,2006-11-04,Through Glass
14274,Paula DeAnda Featuring The DEY,2006-11-04,Walk Away (Remember Me)
14275,Corinne Bailey Rae,2006-11-04,Put Your Records On
14276,Brad Paisley,2006-11-04,She's Everything
14277,Tenacious D,2006-11-04,The Pick Of Destiny
14278,OK Go,2006-11-04,Here It Goes Again
14279,The Game Featuring Junior Reid,2006-11-04,It's Okay (One Blood)
14280,Cherish,2006-11-04,Unappreciated
14281,Thirty Seconds To Mars,2006-11-04,The Kill (Bury Me)
14282,Rob Thomas,2006-11-04,Streetcorner Symphony
14283,Vanessa Hudgens,2006-11-04,Come Back To Me
14284,Janet & Nelly,2006-11-04,Call On Me
14285,Nickelback,2006-11-04,Rockstar
14286,Beyonce,2006-11-04,Irreplaceable
14287,Steve Holy,2006-11-04,Brand New Girlfriend
14288,Lonestar,2006-11-04,Mountains
14289,Alan Jackson,2006-11-04,Like Red On A Rose
14290,Breaking Benjamin,2006-11-04,The Diary Of Jane
14291,Mat Kearney,2006-11-04,Nothing Left To Lose
14292,Montgomery Gentry,2006-11-04,Some People Change
14293,Fort Minor Featuring Styles Of Beyond,2006-11-04,Remember The Name
14294,Jason Aldean,2006-11-04,Amarillo Sky
14295,Jack Ingram,2006-11-04,Love You
14296,Cassie,2006-11-04,Long Way 2 Go
14297,"""Weird Al"" Yankovic",2006-11-04,Canadian Idiot
14298,RBD,2006-11-04,Tu Amor
14299,The Red Jumpsuit Apparatus,2006-11-04,Face Down
14300,Justin Timberlake,2006-10-07,SexyBack
14301,Ludacris Featuring Pharrell,2006-10-07,Money Maker
14302,The Fray,2006-10-07,How To Save A Life
14303,Fergie,2006-10-07,London Bridge
14304,Hinder,2006-10-07,Lips Of An Angel
14305,Snow Patrol,2006-10-07,Chasing Cars
14306,JoJo,2006-10-07,Too Little Too Late
14307,Jibbs,2006-10-07,Chain Hang Low
14308,Chingy Featuring Tyrese,2006-10-07,Pullin' Me Back
14309,The Pussycat Dolls Featuring Snoop Dogg,2006-10-07,Buttons
14310,Nickelback,2006-10-07,Far Away
14311,Ne-Yo,2006-10-07,Sexy Love
14312,Sean Paul Featuring Keyshia Cole,2006-10-07,(When You Gonna) Give It Up To Me
14313,Beyonce,2006-10-07,Ring The Alarm
14314,Gnarls Barkley,2006-10-07,Crazy
14315,Evanescence,2006-10-07,Call Me When You're Sober
14316,Yung Joc Featuring Brandy 'Ms. B.' Hambrick,2006-10-07,I Know You See It
14317,Danity Kane,2006-10-07,Show Stopper
14318,Nelly Furtado Featuring Timbaland,2006-10-07,Promiscuous
14319,John Mayer,2006-10-07,Waiting On The World To Change
14320,Panic! At The Disco,2006-10-07,I Write Sins Not Tragedies
14321,The Fray,2006-10-07,Over My Head (Cable Car)
14322,E-40 Featuring T-Pain & Kandi Girl,2006-10-07,U And Dat
14323,Young Dro Featuring T.I.,2006-10-07,Shoulder Lean
14324,Justin Timberlake Featuring T.I.,2006-10-07,My Love
14325,Chris Brown,2006-10-07,Say Goodbye
14326,Ciara Featuring Chamillionaire,2006-10-07,Get Up
14327,Christina Aguilera,2006-10-07,Ain't No Other Man
14328,Cassie,2006-10-07,Me & U
14329,Diddy Featuring Nicole Scherzinger,2006-10-07,Come To Me
14330,Blue October,2006-10-07,Hate Me
14331,The All-American Rejects,2006-10-07,Move Along
14332,Rascal Flatts,2006-10-07,What Hurts The Most
14333,Jesse McCartney,2006-10-07,Right Where You Want Me
14334,Shakira Featuring Wyclef Jean,2006-10-07,Hips Don't Lie
14335,Janet & Nelly,2006-10-07,Call On Me
14336,Nelly Furtado,2006-10-07,Maneater
14337,Lyfe Jennings,2006-10-07,S.E.X.
14338,Heartland,2006-10-07,I Loved Her First
14339,Cherish Featuring Sean Paul Of The YoungBloodZ,2006-10-07,Do It To It
14340,Sugarland,2006-10-07,Want To
14341,Yung Joc,2006-10-07,It's Goin' Down
14342,Frankie J Featuring Mannie Fresh & Chamillionaire,2006-10-07,That Girl
14343,Lil Jon Featuring E-40 & Sean Paul Of The YoungBloodZ,2006-10-07,Snap Yo Fingers
14344,Josh Turner,2006-10-07,Would You Go With Me
14345,Red Hot Chili Peppers,2006-10-07,Dani California
14346,KT Tunstall,2006-10-07,Black Horse & The Cherry Tree
14347,Carrie Underwood,2006-10-07,Before He Cheats
14348,Mario Vazquez,2006-10-07,Gallery
14349,Aly & AJ,2006-10-07,Chemicals React
14350,The Killers,2006-10-07,When You Were Young
14351,The Wreckers,2006-10-07,Leave The Pieces
14352,OK Go,2006-10-07,Here It Goes Again
14353,Red Hot Chili Peppers,2006-10-07,Tell Me Baby
14354,Kenny Chesney,2006-10-07,You Save Me
14355,Keith Urban,2006-10-07,Once In A Lifetime
14356,Beyonce Featuring Jay Z,2006-10-07,Deja Vu
14357,Steve Holy,2006-10-07,Brand New Girlfriend
14358,Five For Fighting,2006-10-07,The Riddle
14359,Rascal Flatts,2006-10-07,Life Is A Highway
14360,Brooke Hogan Featuring Paul Wall,2006-10-07,About Us
14361,Monica Featuring Dem Franchize Boyz,2006-10-07,Everytime Tha Beat Drop
14362,Lionel Richie,2006-10-07,I Call It Love
14363,Corinne Bailey Rae,2006-10-07,Put Your Records On
14364,Dierks Bentley,2006-10-07,Every Mile A Memory
14365,Webstar & Young B Featuring The Voice Of Harlem,2006-10-07,Chicken Noodle Soup.
14366,Rascal Flatts,2006-10-07,My Wish
14367,Rodney Atkins,2006-10-07,If You're Going Through Hell (Before The Devil Even Knows)
14368,George Strait,2006-10-07,Give It Away
14369,Birdman & Lil Wayne,2006-10-07,Stuntin' Like My Daddy
